Category,Scheme Name,Description,Benefits,Eligibility,Tags
Credit,PMEGP (Manufacturing),Credit-linked subsidy for setting up new manufacturing micro-enterprises.,Subsidy up to 35%. Loan up to ?50 Lakh.,"New Manufacturing Units, 8th Pass >10L project.",Manufacturing;Subsidy;Startup;Loan
Credit,PMEGP (Service),Credit-linked subsidy for new service-sector enterprises.,Subsidy up to 35%. Loan up to ?20 Lakh.,"New Service Units, 8th Pass >5L project.",Service;Subsidy;Startup;Loan
Credit,CGTMSE (Micro),Collateral-free credit guarantee for Micro enterprises.,Guarantee cover up to 85% for loans up to ?5 Lakh.,Micro Enterprises (Mfg & Service).,Micro;No Collateral;Loan
Credit,CGTMSE (Small),Collateral-free credit guarantee for Small enterprises.,Guarantee cover up to 75% for loans ?5L to ?5 Cr.,Small Enterprises (Mfg & Service).,Small;No Collateral;Loan
Credit,CGTMSE (Retail Trade),Credit guarantee specifically for retail traders.,Guarantee cover up to 50% for loans up to ?1 Crore.,Retail Traders registered as MSME.,Trading;No Collateral;Loan
Credit,CGTMSE (Women),Special credit guarantee provision for women entrepreneurs.,Guarantee cover up to 85% for loans up to ?50 Lakh.,Women Entrepreneurs.,Women;No Collateral;Loan
Credit,MUDRA (Shishu),Loans for small businesses at early stages.,"Loan up to ?50,000. No collateral.","Micro Units, Shopkeepers, Vendors.",Micro;Loan;Startup;Trading
Credit,MUDRA (Kishore),Loans for businesses looking to expand.,"Loan from ?50,000 to ?5 Lakh.",Existing Micro Units expanding.,Micro;Loan;Expansion
Credit,MUDRA (Tarun),Loans for established businesses for diversification.,Loan from ?5 Lakh to ?10 Lakh.,Established Small Enterprises.,Small;Loan;Growth
Credit,Stand-Up India (SC/ST),Greenfield loans for SC/ST entrepreneurs.,Bank loan ?10L - ?1Cr. Repayable in 7 years.,SC/ST starting Greenfield project.,SC/ST;Loan;Startup
Credit,Stand-Up India (Women),Greenfield loans for Women entrepreneurs.,Bank loan ?10L - ?1Cr. Repayable in 7 years.,Women starting Greenfield project.,Women;Loan;Startup
Credit,CLCSS (Pharma),Tech upgradation subsidy for Pharma MSMEs.,15% capital subsidy on machinery (Max ?15L).,Existing Pharma MSMEs.,Manufacturing;Subsidy;Technology;Pharma
Credit,CLCSS (Food Processing),Tech upgradation for Food Processing units.,15% capital subsidy for eligible machinery.,Existing Food Processing MSMEs.,Manufacturing;Subsidy;Technology;Food
Credit,Interest Subvention (Mfg),Interest relief on working capital for manufacturers.,2% interest subvention on outstanding balance.,GST Registered Manufacturing MSMEs.,Manufacturing;Interest Relief;Working Capital
Credit,Interest Subvention (Service),Interest relief on working capital for service units.,2% interest subvention on outstanding balance.,GST Registered Service MSMEs.,Service;Interest Relief;Working Capital
Credit,Udyami Mitra,Portal to access loans from multiple banks.,Single interface to apply for MSME loans.,All MSMEs.,Loan;Portal;Banking
Credit,SIDBI Make in India Soft Loan,Soft loan for MSMEs to expand production.,Soft loan at concessional interest rates.,MSMEs in Manufacturing.,Manufacturing;Loan;Expansion
Credit,Smile Scheme (SIDBI),Debt-equity assistance for new enterprises.,Soft loans/Quasi-equity for growth.,MSMEs in Service/Mfg.,Loan;Equity;Growth
Credit,Equipment Refinance Scheme,Finance for purchasing new equipment/machinery.,100% finance for equipment purchase.,Manufacturing MSMEs.,Manufacturing;Loan;Machinery
Credit,Bill Discounting Scheme,Working capital against unpaid invoices.,Immediate cash against approved bills.,MSMEs supplying to major companies.,Working Capital;Loan;Bill Discounting
Infrastructure,MSE-CDP (Common Facility),Setting up Common Facility Centers (CFCs).,Grant up to 70% of project cost (Max ?20 Cr).,"SPVs, Clusters, State Govt.",Cluster;Infrastructure;Grant
Infrastructure,MSE-CDP (Industrial Estate),Development of new Industrial Estates.,Grant up to 60% of project cost (Max ?10 Cr).,State Govt Agencies.,Infrastructure;Construction;Grant
Infrastructure,SFURTI (Bamboo),Cluster development for Bamboo artisans.,Grant up to ?2.5 Cr (Regular) or ?5 Cr (Major).,"Bamboo Artisans, SHGs.",Rural;Artisan;Cluster;Bamboo
Infrastructure,SFURTI (Khadi),Revamp of Khadi clusters.,"Grant for charkhas, looms, and workspace.","Khadi Institutions, Artisans.",Rural;Artisan;Cluster;Khadi
Infrastructure,SFURTI (Honey),Support for beekeeping clusters.,Grant for bee boxes and processing units.,"Beekeepers, SHGs.",Rural;Agri;Cluster;Honey
Infrastructure,ASPIRE (LBI),Livelihood Business Incubators for rural entrepreneurship.,Grant up to ?100 Lakh for machinery.,"Govt Agencies, Training Institutes.",Incubator;Rural;Startup
Infrastructure,ASPIRE (TBI),Technology Business Incubators for innovation.,Grant up to ?30 Lakh for plant & machinery.,"Technical Institutes, R&D Centers.",Incubator;Tech;Innovation
Infrastructure,ASPIRE (Fund of Funds),Venture capital support for agro-rural startups.,Investment in startups via SIDBI.,Agro-Rural Startups.,Startup;Investment;Rural
Infrastructure,Solar Charkha Mission,Solar powered charkha clusters.,Subsidy of ?50 Cr per cluster for 2000 artisans.,SPVs in Rural Areas.,Solar;Rural;Women;Textile
Infrastructure,National SC-ST Hub (VDP),Vendor Development Programs for SC/ST.,Financial support to organize VDPs.,"SC/ST Hubs, Industry Assoc.",SC/ST;Marketing;Event
Infrastructure,National SC-ST Hub (Exhibition),Stall rent support for SC/STs.,Reimbursement of stall charges at fairs.,SC/ST Entrepreneurs.,SC/ST;Marketing;Exhibition
Infrastructure,Mini Tool Rooms,Setting up mini tool rooms in states.,Grant up to ?9 Cr for machinery.,State Governments.,Infrastructure;Tool Room;Machinery
Infrastructure,Technology Centres (New),Establishment of new TCs.,Access to advanced tech for MSMEs.,General MSMEs.,Infrastructure;Technology
Infrastructure,Technology Centres (Extension),Extension centers for TCs.,Training and consultancy services.,MSMEs in catchment area.,Training;Consultancy
Infrastructure,Coir Udyami Yojana,Credit linked subsidy for Coir units.,40% subsidy on project cost.,"Coir Artisans, MSMEs.",Coir;Subsidy;Rural
Infrastructure,Export Promotion Parks,Infrastructure for export-oriented units.,Grant for park development.,Export Oriented Units.,Export;Infrastructure
Infrastructure,Textile Cluster Scheme,Infrastructure for textile units.,"Grant for dye houses, treatment plants.",Textile MSMEs.,Textile;Cluster
Infrastructure,Food Park Scheme,Infrastructure for food processing.,Common processing facilities.,Food Processing MSMEs.,Food;Cluster
Infrastructure,Leather Cluster Scheme,Infrastructure for leather units.,Common effluent treatment plants.,Leather MSMEs.,Leather;Cluster
Infrastructure,IT Park Scheme (STPI),Infrastructure for IT/ITES units.,Plug and play office space.,IT/ITES MSMEs.,IT;Service;Infrastructure
Technology,ZED Certification (Bronze),Basic certification for quality/environment.,80% subsidy on certification fee.,Micro Enterprises.,Quality;Certification;Subsidy
Technology,ZED Certification (Silver),Intermediate certification for quality.,60% subsidy on certification fee.,Small Enterprises.,Quality;Certification;Subsidy
Technology,ZED Certification (Gold),Advanced certification for quality.,50% subsidy on certification fee.,Medium Enterprises.,Quality;Certification;Subsidy
Technology,Lean Manufacturing (Pilot),Pilot phase implementation of Lean.,90% funding for consultant fees.,Manufacturing Clusters.,Efficiency;Consulting;Manufacturing
Technology,Lean Manufacturing (Cluster),Full implementation of Lean techniques.,80% funding for consultant fees.,Manufacturing Mini-Clusters.,Efficiency;Consulting;Manufacturing
Technology,Design Clinic (Student Project),Design intervention by students.,"Grant up to ?60,000 per project.",MSMEs + Design Students.,Design;Student;Grant
Technology,Design Clinic (Professional),Design intervention by consultants.,Grant up to ?40 Lakh per project.,MSMEs + Design Consultants.,Design;Consulting;Grant
Technology,Digital MSME (Cloud),Adoption of cloud computing services.,Subsidy on cloud usage charges.,Registered MSMEs.,Digital;Cloud;IT
Technology,Digital MSME (ERP),Adoption of ERP software.,Subsidy on ERP license cost.,Registered MSMEs.,Digital;Software;IT
Technology,IPR (Trademark),Reimbursement for Trademark filing.,"Reimbursement up to ?10,000.",Registered MSMEs.,Trademark;IPR;Reimbursement
